線別,標別,車站名,監造單位,監造工務所,工地主任,聯絡電話,聯絡地址,位置,來源網址
萬大-中和-樹林線第一期,萬大線CQ840區段標,中正紀念堂站、夏安站,臺北市政府捷運工程局第二區工程處,土二所,劉振忠,(02)23701519,臺北市延平南路189號2樓 ,本標捷運中正紀念堂站起，向西沿著南海路下方過和平西路後接西藏路轉萬大路。,https://www-ws.gov.taipei/001/Upload/388/relfile/40723/7418667/dd11b6f4-bba4-42be-a262-0bcf310ac726.pdf
萬大-中和-樹林線第一期,萬大線CQ842區段標,植物園站,臺北市政府捷運工程局第二區工程處,土三所,蘇瑞麟,(02)23701193,臺北市延平南路189號2樓 ,本標位於南海路上東起南海路牯嶺街口西至西藏路惠安街口止。,https://www-ws.gov.taipei/001/Upload/388/relfile/40723/7418667/dd11b6f4-bba4-42be-a262-0bcf310ac726.pdf
萬大-中和-樹林線第一期,萬大線CQ850A區段標,加蚋站,臺北市政府捷運工程局第二區工程處,土四所,孫禮賢,(02)23068020,臺北市萬華區莒光路310號4樓 ,本標北起萬大路344巷口往南沿萬大路至華中橋前左轉穿越新 店溪至永平國小。,https://www-ws.gov.taipei/001/Upload/388/relfile/40723/7418667/dd11b6f4-bba4-42be-a262-0bcf310ac726.pdf
萬大-中和-樹林線第一期,萬大線CQ850區段標,永和站,臺北市政府捷運工程局第二區工程處,土五所,方道民,(02)82315739,新北市永和區保生路2號18樓,本標東起新北市永和區保生路沿中山路一、二段至連城路口止。,https://www-ws.gov.taipei/001/Upload/388/relfile/40723/7418667/dd11b6f4-bba4-42be-a262-0bcf310ac726.pdf
